Año, País,  PIB, PIB PERCAPITA, emisiones de co2, emisiones de co2 percapita, tasa natalidad, tasa mortalidad, población
;Chile;77.63;122996;7600;58682;3.63;15.02;5.44;16183000
;Colombia;74.27;145163;3385;60668;1.4;19.3;4.4;42889000
;Costa Rica;78.12;19994;4743;6308;1.48;16.72;4.2;4215000
;Cuba;77.69;42644;3787;26167;2.32;11.53;7.29;11261582
;Ecuador;74.11;41507;3025;28332;2.06;23.02;5.03;13721000
;El salvador;70.12;14698;2437;6940;1.15;21.31;6.72;6030000
;Guatemala;69.76;27211;2078;11698;0.89;31.45;5.59;13096000
;Haití;58.65;4312;469;2234;0.24;29.64;10.47;9195288
;Honduras;72.03;9672;1312;7848;1.06;29.18;4.81;7373000
;México;75.3;877477;8189;448583;4.14;21.74;4.6;107151000
;Nicaragua;71.2;6321;1153;4311;0.8;24.96;5.1;5483000
;Panamá;75.89;16638;4965;7204;2.16;22.04;4.84;3351000
;Paraguay;71.67;10738;1858;3937;0.68;24.04;5.39;5780000
;Perú;72.91;74232;2669;31644;1.15;22.16;5.46;27810540
;Rep. Dom;70.77;35948;4008;19404;2.1;22.84;6.04;8968000
;Uruguay;75.83;17398;5190;5499;1.65;14.2;9.79;3352000
;Venezuela;73.18;143326;5420;152478;5.69;22.22;4.2;26445000
2006;Argentina;74.62;232892;5976;176178;4.45;18.6;7.76;38971000
;Bolivia;65.85;11520;1241;10762;1.16;27.05;8.12;9283000
;Brasil;72.26;1106368;5914;383790;2.03;16.75;6.02;187062000
;Chile;77.87;154864;9473;59827;3.67;14.91;5.48;16348000
;Colombia;74.5;161363;3718;59509;1.36;18.69;4.4;43406000
;Costa Rica;78.24;22659;5296;6906;1.6;16.44;4.26;4279000
;Cuba;77.86;52743;4684;26691;2.36;11.34;7.34;11261248
;Ecuador;74.32;46802;3351;29964;2.15;22.63;5.03;13965000
;El salvador;70.33;16000;2634;7364;1.22;20.88;6.74;6074000
;Guatemala;70.08;30231;2257;11864;0.89;30.56;5.5;13397000
;Haití;59.03;4749;508;2282;0.24;29.24;10.29;9344785
;Honduras;72.29;10842;1438;7245;0.96;28.3;4.74;7541000
;México;75.3;975383;8997;465105;4.22;21.34;4.6;108409000
;Nicaragua;71.44;6764;1225;4557;0.84;24.67;5.09;5523000
;Panamá;76.06;18438;5402;7594;2.24;21.83;4.86;3413000
;Paraguay;71.86;13430;2285;4109;0.7;23.7;5.39;5877000
;Perú;73.22;87459;3107;31251;1.12;21.82;5.45;28151443
;Rep. Dom;71.04;37998;4189;20820;2.22;22.5;6.03;9071000
;Uruguay;76.05;19620;5843;6432;1.93;14.3;9.37;3358000
;Venezuela;73.38;177722;6617;149455;5.49;21.93;4.3;26858000
2007;Argentina;74.79;287921;7316;183906;4.6;18.47;7.75;39356000
;Bolivia;66.4;13216;1400;11679;1.24;26.51;7.94;9441000
;Brasil;72.62;1396105;7385;400373;2.1;16.31;6.02;189038000
;Chile;78.1;173569;10508;67273;4.08;14.84;5.51;16518000
;Colombia;74.73;205755;4684;61215;1.38;18.12;4.4;43927000
;Costa Rica;78.36;26856;6187;7664;1.75;16.23;4.33;4340000
;Cuba;78.02;58604;5209;27603;2.44;11.21;7.41;11251122
;Ecuador;74.51;51008;3588;30845;2.17;22.29;5.04;14215000
;El salvador;70.54;17012;2790;7740;1.27;20.53;6.77;6097000
;Guatemala;70.41;34113;2490;12675;0.93;29.72;5.41;13700000
;Haití;59.41;5885;620;2576;0.27;28.84;10.11;9495328
;Honduras;72.54;12275;1593;8936;1.16;27.43;4.68;7708000
;México;75.26;1052697;9589;472342;4.22;20.97;4.7;109787000
;Nicaragua;71.67;7423;1327;4678;0.85;24.4;5.09;5596000
;Panamá;76.23;21296;6127;7327;2.12;21.64;4.87;3476000
;Paraguay;72.06;17856;2989;4239;0.71;23.4;5.4;5975000
;Perú;73.53;102187;3588;34166;1.21;21.48;5.45;28481901
;Rep. Dom;71.3;44067;4803;21197;2.23;22.18;6.02;9174000
;Uruguay;76.25;23461;6985;5939;1.78;14.3;10.3;3359000
;Venezuela;73.58;221953;8138;147201;5.32;21.64;4.3;27273000
2008;Argentina;74.95;363545;9147;195964;4.85;18.36;7.74;39746000
;Bolivia;66.94;16792;1749;12729;1.33;25.99;7.77;9600000
;Brasil;72.97;1694860;8873;420165;2.18;15.92;6.02;191010000
;Chile;78.33;179488;10749;70814;4.25;14.78;5.55;16698000
;Colombia;74.96;242028;5445;61794;1.38;17.61;4.4;44451000
;Costa Rica;78.49;30844;7003;7587;1.71;16.04;4.39;4404000
;Cuba;78.15;60806;5411;26712;2.36;11.15;7.49;11236971
;Ecuador;74.71;61763;4267;31506;2.18;21.98;5.05;14473000
;El salvador;70.76;17987;2939;6972;1.14;20.21;6.8;6121000
;Guatemala;70.75;39137;2794;11456;0.82;28.95;5.32;14006000
;Haití;59.78;6550;679;2574;0.27;28.44;9.94;9646580
;Honduras;72.8;13790;1752;8651;1.1;26.59;4.63;7873000
;México;75.19;1109987;9973;474110;4.17;20.64;4.8;111299000
;Nicaragua;71.92;8497;1499;4499;0.8;24.13;5.08;5669000
;Panamá;76.41;25156;7110;7236;2.06;21.46;4.89;3538000
;Paraguay;72.25;24577;4048;4529;0.75;23.1;5.4;6072000
;Perú;73.83;121754;4227;38754;1.35;21.11;5.46;28807034
;Rep. Dom;71.56;48206;5195;21115;2.19;21.9;6.02;9280000
;Uruguay;76.44;30366;9029;7823;2.33;14.2;9.41;3363000
;Venezuela;73.76;289877;10469;177594;6.31;21.36;4.5;27689000
2009;Argentina;75.12;334633;8338;185919;4.56;18.25;7.72;40134000
;Bolivia;67.48;17464;1790;13523;1.39;25.49;7.6;9759000
;Brasil;73.3;1667666;8642;393331;2.02;15.6;6.03;192981000
;Chile;78.56;172520;10220;67753;4.03;14.71;5.59;16881000
;Colombia;75.19;232565;5171;64979;1.43;17.16;4.4;44979000
;Costa Rica;78.63;30826;6897;7295;1.63;15.88;4.46;4469000
;Cuba;78.26;62080;5530;30493;2.69;11.14;7.6;11226709
;Ecuador;74.9;62520;4242;34269;2.33;21.71;5.06;14738000
;El salvador;70.98;17602;2861;6864;1.12;19.92;6.82;6153000
;Guatemala;71.11;37734;2636;12060;0.84;28.27;5.23;14316000
;Haití;60.15;6585;672;2493;0.25;28.05;9.78;9798046
;Honduras;73.06;14486;1803;8183;1.02;25.78;4.58;8035000
;México;75.13;900047;7975;464301;4.02;20.33;5;112853000
;Nicaragua;72.17;8297;1445;4475;0.79;23.85;5.08;5742000
;Panamá;76.6;27117;7532;8666;2.42;21.29;4.91;3600000
;Paraguay;72.45;22347;3623;4605;0.75;22.8;5.41;6169000
;Perú;74.12;121493;4170;41634;1.44;20.71;5.48;29132013
;Rep. Dom;71.81;48319;5151;20287;2.08;21.64;6.02;9380000
;Uruguay;76.6;31661;9372;7984;2.37;14.1;9.62;3378000
;Venezuela;73.94;237448;8448;178706;6.25;21.08;4.4;28106000
2010;Argentina;75.28;424729;10413;191223;4.64;18.15;7.71;40788000
;Bolivia;68.01;19786;1995;14835;1.5;25.01;7.45;9918000
;Brasil;73.62;2207602;11327;445249;2.26;15.33;6.05;194891000
;Chile;78.78;218308;12794;71932;4.23;14.61;5.63;17064000
;Colombia;75.42;286039;6285;66566;1.45;16.78;4.4;45510000
